X--_uc251498ff9 1::[V(_uc263a294881)],Y--_uc251498ff9 1::[V(_uc263a294881)],,X--_uc251498ff9 2::[V(_uc263a294882)],Y--_uc251498ff9 2::[V(_uc263a294882)]
0.00215274,0.0374203,,0.00215274,-1.11551e-05
0.00216274,0.0374194,,0.00216274,-9.98221e-06
0.00217274,0.0374185,,0.00217274,-8.62587e-06
0.00218274,0.0374176,,0.00218274,-7.05581e-06
0.00219274,0.0374168,,0.00219274,-5.23685e-06
0.00220274,0.0374159,,0.00220274,-3.12809e-06
0.00221274,0.037415,,0.00221274,-6.81935e-07
0.00222274,0.0374141,,0.00222274,2.15694e-06
0.00223274,0.0374133,,0.00223274,5.45287e-06
0.00224274,0.0374124,,0.00224274,9.28065e-06
0.00225274,0.0374116,,0.00225274,1.37272e-05
0.00226274,0.0374106,,0.00226274,1.88936e-05
0.00227274,0.0374098,,0.00227274,2.48922e-05
0.00228274,0.0374089,,0.00228274,3.18659e-05
0.00229274,0.0374081,,0.00229274,3.99723e-05
0.00230274,0.0374072,,0.00230274,4.93939e-05
0.00231274,0.0374064,,0.00231274,6.03456e-05
0.00232274,0.0374055,,0.00232274,7.30743e-05
0.00233274,0.0374046,,0.00233274,8.78686e-05
0.00234274,0.0374037,,0.00234274,0.000105062
0.00235274,0.0374029,,0.00235274,0.000125043
0.00236274,0.037402,,0.00236274,0.000148259
0.00237274,0.0374012,,0.00237274,0.000175235
0.00238274,0.0374003,,0.00238274,0.000206573
0.00239274,0.0373995,,0.00239274,0.000242975
0.00240274,0.0373986,,0.00240274,0.000285254
0.00241274,0.0373978,,0.00241274,0.000334352
0.00242274,0.0373969,,0.00242274,0.00039136
0.00243274,0.037396,,0.00243274,0.000457542
0.00244274,0.0373952,,0.00244274,0.000534362
0.00245274,0.0373943,,0.00245274,0.000623514
0.00246274,0.0373934,,0.00246274,0.000726959
0.00247274,0.0373926,,0.00247274,0.000846965
0.00248274,0.0373917,,0.00248274,0.000986155
0.00249274,0.0373909,,0.00249274,0.00114756
0.00250274,0.03739,,0.00250274,0.00133469
0.00251274,0.0373892,,0.00251274,0.00155158
0.00252274,0.0373884,,0.00252274,0.00180291
0.00253274,0.0373875,,0.00253274,0.00209406
0.00254274,0.0373867,,0.00254274,0.00243124
0.00255274,0.0373859,,0.00255274,0.0028216
0.00256274,0.037385,,0.00256274,0.00327336
0.00257274,0.0373842,,0.00257274,0.00379599
0.00258274,0.0373833,,0.00258274,0.00440035
0.00259274,0.0373825,,0.00259274,0.00509889
0.00260274,0.0373816,,0.00260274,0.00590587
0.00261274,0.0373808,,0.00261274,0.0068376
0.00262274,0.0373799,,0.00262274,0.00791269
0.00263274,0.0373791,,0.00263274,0.00915232
0.00264274,0.0373783,,0.00264274,0.0105806
0.00265274,0.0373775,,0.00265274,0.0122247
0.00266274,0.0373766,,0.00266274,0.0141155
0.00267274,0.0373758,,0.00267274,0.0162876
0.00268274,0.0373749,,0.00268274,0.0187798
0.00269274,0.0373741,,0.00269274,0.0216354
0.00270274,0.0373732,,0.00270274,0.0249025
0.00271274,0.0373725,,0.00271274,0.0286341
0.00272274,0.0373716,,0.00272274,0.0328884
0.00273274,0.0373708,,0.00273274,0.0377283
